r,v,p
572.7,9.38,0.15
116.88,25.64,5.63
55.73,23.21,9.67
1.09,3.81,13.35
10.56,158.25,2372.33
4.51,2.63,1.53
3.78,2.94,2.29
1598.87,43.19,1.17
13.03,5.69,2.49
816.91,255.81,80.1
93.84,494.62,2607.16
364.69,3.69,0.04
32.32,350.33,3797.06
59.84,146.12,356.77
29.72,13.53,6.16
2.52,33.21,436.87
200.12,14.58,1.06
5.13,29.72,172.04
0.61,29.81,1452.7
105.68,123.36,144.0
2.17,70.66,2298.14
1220.56,2.35,0.0
1364.83,8.48,0.05
987.11,2.44,0.01
10.77,17.94,29.89
0.57,24.85,1086.03
1103.64,11.87,0.13
17.43,4.24,1.03
1516.77,12.76,0.11
1479.06,82.67,4.62
590.96,3.05,0.02
5.75,31.63,174.0
12.19,86.54,614.15
581.86,4.97,0.04
6.93,316.81,14489.6
2.04,3.3,5.33
50.65,3.75,0.28
1177.76,3.1,0.01
160.74,155.84,151.1
56.54,2.62,0.12
1.12,28.31,716.02
82.08,260.36,825.81
1841.63,40.87,0.91
1.6,12.35,95.4
36.81,20.91,11.87
723.3,1.75,0.0
232.95,27.57,3.26
162.06,280.66,486.06
169.57,241.09,342.76
9.86,2.25,0.51
5.71,25.93,117.77
411.47,2.67,0.02
414.04,45.5,5.0
664.07,21.24,0.68
973.91,75.54,5.86
34.74,28.37,23.17
32.02,19.19,11.5
375.39,11.82,0.37
109.69,2.2,0.04
168.85,82.19,40.0
367.67,4.14,0.05
803.2,173.27,37.38
8.25,9.8,11.65
11.27,79.35,558.79
1.09,446.32,182727.21
60.53,20.54,6.97
0.67,132.49,26058.09
23.77,149.34,938.14
45.04,1.82,0.07
5.38,34.16,216.76
67.17,9.87,1.45
0.64,20.13,629.13
0.68,8.58,108.1
459.23,34.81,2.64
9.92,283.63,8111.87
1.43,2.02,2.83
38.03,5.22,0.72
296.85,268.93,243.64
2.99,2.29,1.75
87.63,12.76,1.86
1.01,6.47,41.19
0.77,4.14,22.33
41.01,7.3,1.3
44.3,43.97,43.64
98.86,415.32,1744.76
206.25,16.64,1.34
1637.0,20.06,0.25
36.2,15.25,6.43
7.28,385.9,20449.07
365.83,3.21,0.03
4.73,8.84,16.54
19.06,1.79,0.17
0.96,11.07,127.95
0.62,7.52,91.76
1467.19,6.15,0.03
513.12,5.47,0.06
160.66,10.41,0.67
14.86,6.49,2.83
2.1,2.15,2.2
1.83,6.94,26.33
3.98,437.89,48125.25
47.57,362.54,2763.07
187.49,95.24,48.38
119.41,4.57,0.17
5.1,42.4,352.65
1375.47,197.65,28.4
227.47,2.85,0.04
49.63,32.73,21.58
79.88,8.92,1.0
16.23,15.39,14.58
3.9,35.0,313.85
9.58,24.29,61.6
268.4,312.36,363.53
0.56,33.21,1957.33
1.31,78.27,4678.23
0.73,38.11,1983.4
0.7,15.7,351.78
603.1,4.96,0.04
171.23,2.4,0.03
25.53,76.76,230.81
1.13,2.7,6.5
29.5,2.43,0.2
25.38,306.03,3690.51
2.1,420.73,84169.59
18.27,49.34,133.25
13.63,1.8,0.24
82.66,125.94,191.89
96.97,29.77,9.14
0.73,135.49,25213.21
11.18,16.59,24.63
89.82,113.58,143.64
32.46,152.26,714.25
608.27,35.87,2.12
117.93,417.2,1475.93
1.93,8.93,41.31
0.9,365.51,148807.71
103.04,1.94,0.04
0.62,161.38,41805.57
64.41,38.86,23.45
1218.25,11.03,0.1
59.14,2.33,0.09
12.51,82.51,544.32
103.78,75.95,55.58
22.37,101.7,462.4
46.17,112.11,272.24
1230.79,2.99,0.01
12.3,220.21,3944.08
1449.56,3.52,0.01
912.22,40.17,1.77
2.54,153.63,9305.8
0.89,499.66,280886.9
1.15,4.61,18.42
0.58,8.08,112.2
1.09,8.37,64.07
144.28,93.34,60.38
0.9,28.98,930.73
7.05,14.94,31.7
552.41,366.57,243.25
0.61,42.31,2952.05
429.27,192.47,86.3
5.18,408.34,32197.58
1.33,28.11,593.02
161.68,283.7,497.8
92.14,155.4,262.09
723.9,492.35,334.86
222.2,20.52,1.9
391.88,1.7,0.01
5.19,2.83,1.54
2.18,117.47,6334.58
252.77,169.01,113.0
402.94,12.16,0.37
1848.54,2.93,0.0
15.32,92.26,555.59
10.94,59.96,328.64
313.08,2.07,0.01
8.44,36.05,153.94
1126.2,6.32,0.04
618.05,2.94,0.01
17.55,4.3,1.06
253.31,5.07,0.1
261.14,3.8,0.06
1.18,4.32,15.87
891.29,34.22,1.31
33.03,1.95,0.11
474.15,8.47,0.15
7.11,2.82,1.12
840.81,55.54,3.67
12.62,369.59,10827.69
0.55,1.94,6.89
912.45,272.77,81.54
1.07,127.77,15313.41
7.07,35.47,178.05
1321.75,372.45,104.95
1327.74,5.41,0.02
58.15,1.94,0.06
94.38,142.34,214.68
20.62,3.07,0.46
5.69,189.31,6298.11
7.64,310.34,12613.5
132.26,6.36,0.31
256.49,225.85,198.88
355.05,33.27,3.12
349.32,11.29,0.36
1.07,7.62,54.43
30.19,143.49,681.9
0.81,70.41,6151.82
47.69,201.35,850.16
19.47,52.93,143.89
788.01,11.93,0.18
9.18,12.21,16.23
1.32,300.3,68306.98
1.64,72.44,3205.26
276.68,200.27,144.96
84.3,125.3,186.25
1.16,4.89,20.69
1.0,21.02,440.01
167.46,2.44,0.04
0.91,193.45,40933.51
456.41,38.67,3.28
174.94,301.58,519.88
0.98,3.99,16.19
1.01,320.38,101572.74
1790.21,259.71,37.68
11.15,3.82,1.31
10.82,126.0,1467.85
423.37,23.09,1.26
1291.27,6.95,0.04
1780.76,316.7,56.32
258.63,152.63,90.08
11.33,3.89,1.33
1.0,376.3,141687.88
314.99,32.23,3.3
51.33,36.2,25.53
16.87,73.38,319.23
919.84,17.25,0.32
1.26,12.84,131.08
29.75,123.65,513.97
0.55,25.95,1225.71
24.38,43.13,76.28
0.8,11.92,178.1
1.34,46.84,1637.96
1.33,69.38,3632.04
109.01,6.38,0.37
243.37,317.76,414.88
63.14,29.16,13.47
1461.41,12.92,0.11
11.2,85.95,659.46
5.35,351.9,23158.85
672.54,35.52,1.88
3.19,10.27,33.03
1474.2,70.83,3.4
0.55,317.15,181882.41
1557.87,4.28,0.01
0.72,33.43,1563.01
810.81,5.43,0.04
39.79,33.2,27.7
1886.64,136.44,9.87
0.92,159.56,27611.12
49.43,1.85,0.07
1550.44,8.62,0.05
38.3,4.92,0.63
92.49,8.05,0.7
160.36,22.05,3.03
21.69,2.26,0.23
91.09,26.02,7.43
63.64,106.29,177.53
881.04,26.9,0.82
0.73,65.79,5937.47
5.14,136.91,3646.16
1325.59,335.91,85.12
804.92,200.14,49.77
21.89,208.28,1981.69
85.65,9.15,0.98
4.99,11.93,28.54
2.38,7.94,26.47
23.4,214.8,1971.6
9.37,14.1,21.21
63.29,1.58,0.04
0.95,2.56,6.89
1617.33,3.13,0.01
1783.86,2.11,0.0
163.6,45.38,12.59
42.66,2.39,0.13
6.51,66.44,677.62
426.88,6.4,0.1
146.36,136.59,127.47
1.93,54.02,1514.9
955.4,279.47,81.75
458.99,22.23,1.08
1318.88,14.58,0.16
205.62,10.1,0.5
81.01,4.31,0.23
16.05,10.41,6.76
1144.76,1.57,0.0
658.54,299.56,136.27
0.73,428.91,252865.15
0.62,283.14,128843.56
11.35,2.25,0.45
415.56,3.42,0.03
1799.69,183.38,18.69
1.74,27.07,420.94
69.03,2.12,0.06
11.78,9.9,8.33
1558.33,12.47,0.1
539.92,62.42,7.22
523.22,2.17,0.01
24.39,284.49,3318.24
15.6,2.51,0.4
4.83,13.66,38.64
0.8,1.87,4.39
651.26,47.76,3.5
423.73,276.7,180.68
1995.32,243.17,29.64
1944.98,21.24,0.23
50.08,5.23,0.55
294.38,4.94,0.08
1264.95,3.34,0.01
574.71,37.45,2.44
3.89,4.89,6.14
20.98,22.55,24.24
1.46,426.12,124410.66
1366.21,3.26,0.01
76.29,10.49,1.44
3.33,135.2,5488.17
131.36,14.9,1.69
84.24,39.94,18.94
9.75,1.82,0.34
1.28,2.72,5.76
131.23,35.51,9.61
37.42,2.18,0.13
302.63,230.35,175.34
37.38,202.99,1102.38
586.92,1.52,0.0
48.64,2.18,0.1
52.42,142.37,386.65
719.0,86.73,10.46
14.2,2.47,0.43
1.52,5.0,16.43
0.63,7.21,81.83
262.43,40.56,6.27
85.78,9.26,1.0
171.83,5.34,0.17
2.92,8.59,25.24
1.55,425.58,116886.5
0.56,13.71,333.42
9.16,97.25,1032.6
66.66,17.82,4.76
12.94,2.52,0.49
18.83,3.01,0.48
903.24,20.18,0.45
8.98,177.59,3511.13
35.51,7.04,1.4
332.46,34.49,3.58
13.41,65.32,318.22
87.05,340.29,1330.26
638.64,22.27,0.78
1315.83,10.45,0.08
1.69,49.61,1453.39
1087.91,8.41,0.07
29.62,13.52,6.17
4.26,15.52,56.55
22.53,17.45,13.51
1694.75,3.3,0.01
29.74,2.78,0.26
7.64,16.46,35.44
95.61,2.37,0.06
3.66,21.0,120.39
0.94,363.6,140935.45
1.46,44.36,1351.5
1.45,1.6,1.76
1.76,25.84,378.89
1.58,2.84,5.1
101.73,22.59,5.02
2.26,430.87,82145.92
8.79,368.88,15476.6
849.68,17.59,0.36
25.48,319.59,4008.35
126.93,2.17,0.04
2.09,3.67,6.46
2.46,4.57,8.48
0.7,2.05,5.97
2.03,53.32,1400.8
5.04,43.77,380.08
2.17,44.1,895.81
1.04,6.88,45.4
1.36,67.27,3327.54
22.84,1.98,0.17
2.77,5.67,11.6
10.26,371.63,13462.57
32.53,1.63,0.08
153.4,3.1,0.06
0.69,420.98,255828.67
378.87,163.22,70.31
91.35,95.25,99.31
0.99,387.16,152161.23
700.89,4.2,0.03
1037.55,22.06,0.47
0.83,4.14,20.67
4.97,111.29,2492.51
400.83,209.21,109.2
247.88,224.35,203.06
2.31,18.12,142.2
2.84,148.2,7738.53
10.8,388.31,13961.07
27.81,54.61,107.21
84.33,212.57,535.84
10.66,135.92,1732.83
23.18,9.55,3.93
246.27,302.05,370.46
0.68,202.05,60230.26
4.06,6.07,9.08
185.57,2.32,0.03
838.61,28.92,1.0
34.84,4.84,0.67
41.27,26.2,16.63
1.22,243.25,48652.29
20.44,2.27,0.25
41.45,3.46,0.29
3.74,4.07,4.43
4.66,195.35,8181.3
11.43,2.49,0.54
0.59,9.12,140.91
7.23,1.88,0.49
2.89,133.21,6143.89
7.56,62.04,509.01
1.35,4.37,14.16
806.68,5.72,0.04
68.73,2.98,0.13
139.68,29.55,6.25
348.03,2.66,0.02
31.22,3.97,0.5
1.03,26.92,704.83
43.02,106.95,265.91
64.98,7.7,0.91
242.15,5.49,0.12
17.94,120.26,806.14
1.44,6.51,29.46
5.26,83.22,1316.21
10.16,30.03,88.77
106.07,28.35,7.58
56.88,24.71,10.73
9.59,2.38,0.59
1788.37,410.21,94.09
76.03,22.59,6.71
3.58,17.16,82.32
1.16,2.59,5.79
1.78,16.55,154.1
3.85,113.96,3377.47
1.9,5.01,13.26
2.35,74.03,2332.21
5.32,115.73,2517.6
2.11,55.98,1487.82
849.52,434.93,222.68
0.97,19.11,375.61
38.75,8.93,2.06
15.04,1.83,0.22
1728.05,6.29,0.02
1.27,90.07,6406.06
13.55,8.86,5.8
1552.6,9.0,0.05
655.51,92.13,12.95
438.64,43.12,4.24
4.25,18.34,79.2
2.06,2.12,2.19
128.07,3.28,0.08
1113.37,20.99,0.4
50.64,45.96,41.72
57.27,15.05,3.95
5.1,5.93,6.9
295.62,200.24,135.64
2.36,97.54,4033.27
7.33,284.75,11067.2
17.04,309.51,5622.64
33.68,67.54,135.42
3.73,14.82,58.82
1.3,23.81,437.6
79.15,2.19,0.06
5.48,2.95,1.59
62.03,6.83,0.75
1.8,3.95,8.67
27.04,2.95,0.32
41.44,20.61,10.26
0.77,34.51,1549.64
8.16,175.16,3762.01
1.52,29.43,568.05
0.85,23.51,653.76
1840.2,9.71,0.05
7.25,159.77,3522.62
413.22,73.64,13.12
4.13,4.25,4.37
142.49,32.76,7.53
273.75,3.78,0.05
69.9,90.94,118.32
24.98,9.08,3.3
15.22,31.69,65.98
9.03,1.65,0.3
1114.78,220.44,43.59
490.81,14.94,0.45
1496.42,1.66,0.0
1.4,2.28,3.72
214.58,162.39,122.9
1199.3,143.65,17.21
2.25,3.24,4.67
0.87,96.61,10754.15
233.63,35.65,5.44
58.65,122.7,256.71
538.63,7.15,0.09
1.59,2.27,3.24
366.08,3.51,0.03
2.66,341.48,43802.44
1.94,5.79,17.26
1.95,383.44,75286.75
429.65,24.1,1.35
124.47,20.28,3.3
38.29,417.31,4548.07
9.81,5.01,2.56
722.27,93.49,12.1
12.96,3.08,0.73
436.93,234.22,125.56
19.09,1.92,0.19
11.4,131.96,1528.09
23.2,6.42,1.77
6.09,48.28,382.76
246.55,214.65,186.88
32.34,108.21,362.0
3.43,392.39,44877.32
869.54,213.07,52.21
12.07,16.79,23.36
45.38,13.22,3.85
920.74,125.63,17.14
88.62,8.14,0.75
1.32,12.48,118.12
1214.23,203.72,34.18
91.2,3.26,0.12
8.04,1.71,0.36
1.59,380.86,91388.36
362.32,5.27,0.08
85.61,3.53,0.15
41.74,45.75,50.15
829.52,270.4,88.15
346.37,14.88,0.64
1.76,81.79,3802.97
6.63,57.6,500.15
3.93,16.4,68.52
239.17,2.5,0.03
0.66,328.48,163404.63
56.46,441.23,3448.12
278.86,35.81,4.6
719.67,3.02,0.01
8.53,92.48,1002.09
454.14,2.2,0.01
1.25,46.83,1752.33
559.68,25.6,1.17
1.44,2.03,2.86
13.49,3.67,1.0
372.29,3.35,0.03
1.73,93.0,4988.65
3.35,126.5,4780.01
199.79,2.67,0.04
196.15,11.48,0.67
101.96,3.17,0.1
157.98,308.51,602.45
45.07,2.12,0.1
4.04,15.6,60.26
8.79,6.07,4.19
2.25,345.31,52882.82
935.97,244.3,63.76
63.15,11.97,2.27
13.9,18.76,25.32
23.08,2.55,0.28
1291.64,15.11,0.18
1.78,37.25,777.73
64.66,12.95,2.59
33.21,2.46,0.18
79.7,5.18,0.34
0.58,7.11,87.02
692.49,131.67,25.04
1138.98,4.89,0.02
54.28,83.03,127.02
161.57,9.27,0.53
1051.64,2.86,0.01
176.39,27.69,4.35
1.77,181.04,18498.88
59.54,8.77,1.29
76.63,45.58,27.11
16.85,183.55,1998.93
224.74,7.08,0.22
1160.42,2.56,0.01
1078.76,5.54,0.03
21.03,219.3,2286.35
1.28,10.11,79.84
1763.71,4.2,0.01
525.69,28.08,1.5
1.41,54.37,2102.36
1037.28,22.0,0.47
679.81,9.85,0.14
36.97,26.17,18.53
67.42,285.24,1206.81
13.68,64.43,303.36
0.79,18.39,429.25
8.06,170.41,3602.68
389.85,1.52,0.01
0.52,4.7,42.44
7.95,34.08,146.1
13.59,67.66,336.86
43.12,26.23,15.96
1028.83,65.68,4.19
8.84,52.32,309.55
8.89,39.85,178.74
226.72,3.47,0.05
21.28,19.57,18.01
3.22,19.29,115.55
21.31,5.66,1.51
1.61,271.27,45756.55
2.16,248.23,28534.97
31.2,8.68,2.41
16.14,5.31,1.75
986.96,14.63,0.22
10.1,1.83,0.33
61.7,275.13,1226.86
94.72,4.56,0.22
0.56,5.51,54.49
122.76,20.37,3.38
2.19,42.96,843.17
1448.11,19.22,0.26
1.72,27.81,450.88
15.58,240.57,3715.41
1.01,171.9,29115.88
1948.82,1.6,0.0
32.2,24.81,19.12
69.76,108.44,168.59
0.87,86.21,8520.95
251.4,11.96,0.57
2.85,79.56,2219.62
858.65,59.44,4.12
2.74,6.81,16.9
2.43,5.08,10.61
0.68,2.28,7.67
25.08,18.88,14.21
54.15,30.37,17.04
0.86,1.88,4.12
310.79,15.48,0.77
21.47,2.55,0.3
38.71,2.32,0.14
19.35,7.95,3.27
13.88,30.78,68.23
51.86,52.14,52.42
1.81,39.78,873.44
2.26,404.57,72393.19
635.58,5.58,0.05
1279.19,19.96,0.31
11.06,27.56,68.68
4.72,5.0,5.29
104.4,6.28,0.38
14.83,65.23,286.86
0.62,219.62,78147.15
1.83,16.39,147.16
189.65,46.1,11.21
118.16,453.22,1738.5
0.63,136.88,29930.32
3.15,2.87,2.61
3.4,498.46,73104.18
131.57,85.3,55.31
0.59,3.77,24.16
1.19,5.8,28.34
380.47,75.1,14.82
2.2,197.31,17709.1
112.25,30.82,8.46
3.61,41.31,473.47
1.14,4.68,19.19
3.76,52.8,741.83
199.81,43.96,9.67
604.28,19.1,0.6
489.18,2.05,0.01
13.48,70.01,363.61
127.48,30.54,7.32
2.74,25.24,232.73
5.69,406.9,29111.73
846.5,42.87,2.17
0.56,335.48,202087.14
1.02,81.1,6471.77
2.8,4.66,7.74
0.62,38.06,2324.66
2.25,114.91,5864.48
62.97,114.81,209.35
16.48,2.91,0.51
821.16,2.73,0.01
440.0,1.71,0.01
8.52,65.22,499.57
4.3,14.89,51.59
11.66,152.71,2000.2
66.87,240.09,861.99
4.62,131.48,3742.66
88.55,27.85,8.76
14.92,27.81,51.83
48.69,3.42,0.24
18.62,55.45,165.13
5.75,10.96,20.89
1304.23,2.36,0.0
281.53,71.29,18.05
1.6,63.74,2542.19
671.81,1.82,0.0
28.49,448.49,7059.67
834.07,2.24,0.01
380.27,4.34,0.05
17.01,90.88,485.66
0.6,126.55,26584.84
4.64,9.69,20.24
44.67,58.94,77.77
95.67,10.44,1.14
4.25,10.2,24.49
1.59,329.62,68406.49
508.67,95.49,17.93
1757.3,30.3,0.52
39.13,5.6,0.8
2.08,8.98,38.8
4.78,304.74,19410.04
0.58,37.35,2395.6
982.49,35.66,1.29
1.33,11.81,105.13
59.65,2.89,0.14
4.85,28.51,167.46
49.56,356.31,2561.54
111.03,73.42,48.55
487.25,11.74,0.28
2.77,159.97,9238.09
0.55,269.14,132246.18
1.56,8.0,41.09
872.75,8.93,0.09
702.71,69.09,6.79
70.94,31.86,14.31
72.79,14.96,3.07
124.3,4.86,0.19
2.14,8.18,31.26
983.41,7.49,0.06
16.12,2.22,0.31
12.0,2.15,0.39
36.99,32.51,28.57
0.74,103.15,14414.48
1.99,5.41,14.76
227.73,149.88,98.64
0.99,484.71,236450.84
74.4,154.28,319.94
3.83,12.89,43.41
12.63,151.03,1806.65
5.48,20.55,77.08
9.55,8.74,8.0
194.54,11.56,0.69
5.88,71.76,876.02
54.85,1.91,0.07
25.93,219.62,1860.46
122.9,59.73,29.03
1184.37,306.62,79.38
217.64,58.11,15.52
2.97,130.74,5749.01
0.65,68.87,7323.38
4.4,51.91,612.02
69.58,171.0,420.25
0.77,8.61,96.76
30.68,1.57,0.08
70.6,20.77,6.11
8.0,34.65,150.15
299.12,33.18,3.68
1.21,1.63,2.19
0.93,42.58,1944.4
209.87,26.66,3.39
30.46,60.77,121.22
150.88,485.54,1562.44
18.42,5.58,1.69
3.86,1.79,0.83
446.09,439.75,433.5
378.89,92.77,22.71
158.97,6.54,0.27
4.78,442.6,40998.86
66.84,2.63,0.1
9.98,9.4,8.85
1.07,15.64,228.8
1007.37,19.53,0.38
1.56,15.67,157.95
1323.68,13.21,0.13
20.21,8.4,3.49
2.32,66.62,1911.73
44.76,278.16,1728.4
697.23,119.36,20.43
217.01,4.9,0.11
402.02,1.77,0.01
118.02,26.21,5.82
155.81,133.16,113.8
572.56,272.89,130.06
3.97,11.68,34.39
28.97,22.72,17.82
3.13,1.95,1.22
1805.55,4.52,0.01
1257.56,112.14,10.0
0.69,8.98,116.37
173.98,31.01,5.53
1075.9,9.95,0.09
2.24,5.0,11.18
55.56,204.62,753.59
992.23,54.89,3.04
0.66,17.65,470.3
162.6,219.01,295.0
5.89,2.44,1.01
1068.32,4.42,0.02
1573.19,2.01,0.0
1259.72,8.46,0.06
25.53,151.89,903.49
636.94,47.16,3.49
550.92,8.51,0.13
7.05,236.1,7903.35
483.92,11.25,0.26
0.68,4.83,34.37
70.27,187.43,499.94
3.37,160.09,7607.99
1.36,36.53,981.6
0.95,7.67,62.19
161.08,19.04,2.25
8.38,8.59,8.82
204.0,2.55,0.03
0.86,1.83,3.9
6.83,4.79,3.35
43.88,74.29,125.77
352.54,5.06,0.07
7.03,236.72,7967.58
89.84,69.17,53.25
776.81,3.32,0.01
82.67,155.65,293.05
3.45,46.5,626.46
0.61,177.88,51685.98
680.95,11.17,0.18
0.6,154.62,40080.54
707.45,51.44,3.74
40.2,278.94,1935.47
1206.56,231.84,44.55
376.91,108.97,31.5
1966.02,2.07,0.0
9.17,7.02,5.37
290.02,21.83,1.64
14.02,6.29,2.82
26.76,52.33,102.32
91.05,1.79,0.04
701.47,89.45,11.41
1752.66,1.51,0.0
292.64,409.14,572.01
15.99,21.0,27.59
16.47,31.91,61.8
226.87,1.71,0.01
3.62,207.69,11906.39
1.25,160.92,20716.85
9.47,4.85,2.48
5.42,2.36,1.03
5.84,9.36,15.0
3.47,2.11,1.29
0.71,2.32,7.61
0.58,2.46,10.46
1806.36,16.0,0.14
17.37,281.35,4556.92
12.12,2.16,0.39
140.31,122.16,106.35
3.06,1.54,0.78
1320.65,83.43,5.27
339.96,25.71,1.94
1.05,4.6,20.18
15.96,239.68,3598.66
733.85,50.53,3.48
1264.59,281.53,62.68
24.13,96.07,382.48
81.01,4.53,0.25
2.0,7.07,25.02
1858.74,80.01,3.44
3.42,32.95,317.78
1243.79,64.05,3.3
109.4,76.01,52.82
77.28,14.81,2.84
35.13,375.7,4017.61
3.39,71.9,1525.99
2.16,73.72,2513.94
3.11,2.48,1.97
2.35,15.1,97.09
321.43,371.35,429.03
9.12,8.63,8.16
0.81,5.66,39.71
1547.87,6.77,0.03
762.82,2.16,0.01
1098.47,16.41,0.25
1917.29,100.56,5.27
2.12,28.27,377.84
13.37,152.97,1749.73
269.27,2.58,0.02
160.72,59.24,21.84
1.79,47.55,1261.98
434.16,40.76,3.83
3.22,18.58,107.34
3.2,380.14,45156.27
42.97,1.76,0.07
68.36,317.84,1477.84
61.44,315.46,1619.63
1.07,491.73,226435.54
723.83,195.43,52.77
4.53,316.49,22132.69
1.46,2.99,6.1
794.87,208.46,54.67
1384.47,5.12,0.02
637.39,28.71,1.29
412.0,57.95,8.15
114.6,15.48,2.09
48.22,16.71,5.79
1.03,3.41,11.31
14.8,27.36,50.58
11.0,93.79,799.67
4.31,2.11,1.03
201.73,9.43,0.44
30.56,337.73,3732.48
0.98,25.47,662.63
3.11,153.65,7603.0
144.58,2.12,0.03
0.94,98.12,10240.77
582.19,326.91,183.57
30.38,92.76,283.28
